times,energies
4.820823669433593750e-04,2.826311111450195312e+01
1.784086227416992188e-03,3.398748779296875000e+01
2.136111259460449219e-03,2.503210067749023438e+01
2.742052078247070312e-03,1.249998855590820312e+01
2.944111824035644531e-03,2.503210067749023438e+01
4.510045051574707031e-03,2.503210067749023438e+01
5.076050758361816406e-03,3.554320144653320312e+01
5.106091499328613281e-03,8.085853576660156250e+01
5.586028099060058594e-03,1.405852813720703125e+02
7.012128829956054688e-03,4.390819931030273438e+01
8.416056632995605469e-03,3.398748779296875000e+01
8.752107620239257812e-03,4.390819931030273438e+01
9.472131729125976562e-03,2.826311111450195312e+01
9.644031524658203125e-03,3.015222167968750000e+01
1.088404655456542969e-02,9.562541961669921875e+00
1.244807243347167969e-02,1.805825042724609375e+01
1.353812217712402344e-02,3.015222167968750000e+01
1.374411582946777344e-02,2.069869041442871094e+01
1.489806175231933594e-02,1.358141326904296875e+01
1.588606834411621094e-02,8.710758972167968750e+01
1.599407196044921875e-02,6.128153228759765625e+01
1.622402667999267578e-02,1.142793941497802734e+01
1.672208309173583984e-02,1.691384696960449219e+01
1.687002182006835938e-02,2.210694885253906250e+01
1.725602149963378906e-02,1.983634338378906250e+02
1.765203475952148438e-02,5.884094238281250000e+01
1.838803291320800781e-02,7.778591156005859375e+01
1.875603199005126953e-02,1.113977050781250000e+02
1.919412612915039062e-02,2.239061584472656250e+02
2.017211914062500000e-02,2.172695617675781250e+02
2.212011814117431641e-02,1.805825042724609375e+01
2.521002292633056641e-02,2.503210067749023438e+01
2.550411224365234375e-02,2.656200408935546875e+01
2.564609050750732422e-02,1.274326629638671875e+02
2.622401714324951172e-02,1.754267883300781250e+02
2.681207656860351562e-02,1.487655517578125000e+03
2.731812000274658203e-02,1.232489852905273438e+02
2.764213085174560547e-02,2.210694885253906250e+01
2.808809280395507812e-02,2.354925155639648438e+01
2.817809581756591797e-02,1.691384696960449219e+01
3.010201454162597656e-02,4.390819931030273438e+01
3.120613098144531250e-02,7.198109436035156250e+01
3.162610530853271484e-02,1.487655517578125000e+03
3.433406352996826172e-02,2.210694885253906250e+01
3.436005115509033203e-02,1.805825042724609375e+01
3.446209430694580078e-02,1.045000839233398438e+01
3.641808032989501953e-02,1.142793941497802734e+01
3.658604621887207031e-02,4.240451965332031250e+02
3.690207004547119141e-02,1.754267883300781250e+02
3.708207607269287109e-02,1.249998855590820312e+01
3.772211074829101562e-02,2.210694885253906250e+01
3.860604763031005859e-02,4.984235382080078125e+01
3.884005546569824219e-02,1.191828002929687500e+02
3.995609283447265625e-02,6.128153228759765625e+01
4.010009765625000000e-02,3.554320144653320312e+01
4.189407825469970703e-02,3.213010787963867188e+01
4.222202301025390625e-02,6.128153228759765625e+01
4.493808746337890625e-02,1.113977050781250000e+02
4.641008377075195312e-02,9.568283081054687500e+02
4.690408706665039062e-02,1.691384696960449219e+01
4.764604568481445312e-02,9.039234161376953125e+01
4.778802394866943359e-02,3.398748779296875000e+01
4.796206951141357422e-02,1.691384696960449219e+01
4.810011386871337891e-02,1.076755599975585938e+02
4.850006103515625000e-02,2.239061584472656250e+02
4.882812500000000000e-02,2.826311111450195312e+01
4.931008815765380859e-02,2.503210067749023438e+01
4.973208904266357422e-02,5.652844238281250000e+01
5.018806457519531250e-02,1.805825042724609375e+01
5.094814300537109375e-02,1.358141326904296875e+01
5.156207084655761719e-02,1.691384696960449219e+01
5.164408683776855469e-02,2.826311111450195312e+01
5.232214927673339844e-02,3.871131134033203125e+01
5.597615242004394531e-02,4.390819931030273438e+01
5.603015422821044922e-02,1.923552703857421875e+02
5.689215660095214844e-02,2.503210067749023438e+01
5.783212184906005859e-02,1.545945739746093750e+02
5.820214748382568359e-02,3.015222167968750000e+01
5.837011337280273438e-02,1.805825042724609375e+01
5.854403972625732422e-02,1.113977050781250000e+02
6.013405323028564453e-02,3.554320144653320312e+01
6.029605865478515625e-02,1.249998855590820312e+01
6.036412715911865234e-02,6.914735412597656250e+01
6.160211563110351562e-02,9.039234161376953125e+01
6.301414966583251953e-02,5.197657775878906250e+01
6.330013275146484375e-02,3.706805038452148438e+01
6.331408023834228516e-02,3.679447631835937500e+02
6.377208232879638672e-02,1.467605972290039062e+01
6.505811214447021484e-02,2.656200408935546875e+01
6.539404392242431641e-02,6.128153228759765625e+01
6.612813472747802734e-02,1.923552703857421875e+02
6.617808341979980469e-02,1.045000839233398438e+01
6.758809089660644531e-02,1.045000839233398438e+01
6.827807426452636719e-02,2.354925155639648438e+01
6.904208660125732422e-02,1.487655517578125000e+03
6.948006153106689453e-02,4.984235382080078125e+01
6.974613666534423828e-02,1.467605972290039062e+01
7.015609741210937500e-02,1.983634338378906250e+02
7.360208034515380859e-02,1.232489852905273438e+02
7.361614704132080078e-02,3.015222167968750000e+01
7.391607761383056641e-02,1.249998855590820312e+01
7.404005527496337891e-02,1.487655517578125000e+03
7.511603832244873047e-02,1.931851577758789062e+01
7.815408706665039062e-02,8.710758972167968750e+01
7.869005203247070312e-02,1.647643432617187500e+02
7.977008819580078125e-02,1.487655517578125000e+03
8.080613613128662109e-02,1.691384696960449219e+01
8.091008663177490234e-02,1.487655517578125000e+03
8.093011379241943359e-02,2.354925155639648438e+01
8.208608627319335938e-02,1.578656005859375000e+01
8.220613002777099609e-02,3.015222167968750000e+01
8.307814598083496094e-02,4.783640289306640625e+01
8.325004577636718750e-02,1.317347717285156250e+02
8.332812786102294922e-02,2.826311111450195312e+01
8.370614051818847656e-02,1.805825042724609375e+01
8.400809764862060547e-02,2.503210067749023438e+01
8.467209339141845703e-02,6.619578857421875000e+02
8.548212051391601562e-02,1.191828002929687500e+02
8.600211143493652344e-02,1.467605972290039062e+01
8.667409420013427734e-02,2.354925155639648438e+01
8.688008785247802734e-02,1.805825042724609375e+01
8.740413188934326172e-02,2.172695617675781250e+02
8.826613426208496094e-02,4.208401489257812500e+01
8.835804462432861328e-02,9.568283081054687500e+02
8.940613269805908203e-02,9.039234161376953125e+01
8.963406085968017578e-02,1.317347717285156250e+02
8.982610702514648438e-02,2.210694885253906250e+01
8.986008167266845703e-02,1.467605972290039062e+01
9.020411968231201172e-02,1.249998855590820312e+01
9.056603908538818359e-02,1.805825042724609375e+01
9.114813804626464844e-02,7.782122611999511719e+00
9.119808673858642578e-02,2.069869041442871094e+01
9.131205081939697266e-02,2.069869041442871094e+01
9.147012233734130859e-02,1.865869140625000000e+02
9.157609939575195312e-02,3.015222167968750000e+01
9.167206287384033203e-02,5.768263549804687500e+02
9.178209304809570312e-02,1.487655517578125000e+03
9.195005893707275391e-02,7.782122611999511719e+00
9.196007251739501953e-02,2.503210067749023438e+01
9.203004837036132812e-02,5.884094238281250000e+01
9.206807613372802734e-02,3.213010787963867188e+01
9.211206436157226562e-02,2.826311111450195312e+01
9.216403961181640625e-02,1.274326629638671875e+02
9.220814704895019531e-02,3.015222167968750000e+01
9.256207942962646484e-02,1.805825042724609375e+01
9.269404411315917969e-02,5.197657775878906250e+01
