times,energies
4.398822784423828125e-05,2.624357223510742188e+01
8.280277252197265625e-04,7.012135314941406250e+01
8.599758148193359375e-04,1.224560546875000000e+01
1.399993896484375000e-03,8.497907638549804688e+00
1.604080200195312500e-03,1.326896476745605469e+01
2.002000808715820312e-03,2.468191528320312500e+01
2.266049385070800781e-03,1.024215126037597656e+01
2.582073211669921875e-03,2.577968444824218750e+02
3.697991371154785156e-03,2.624357223510742188e+01
4.106044769287109375e-03,1.907785034179687500e+01
4.693984985351562500e-03,1.772887039184570312e+01
5.084037780761718750e-03,2.044923782348632812e+01
5.696058273315429688e-03,3.145012092590332031e+01
5.820035934448242188e-03,1.907785034179687500e+01
5.941987037658691406e-03,9.205189514160156250e+01
5.956053733825683594e-03,5.929572677612304688e+01
6.246089935302734375e-03,6.724725341796875000e+01
6.308078765869140625e-03,1.576650085449218750e+02
6.500005722045898438e-03,1.024215126037597656e+01
6.550073623657226562e-03,2.794122505187988281e+01
6.572008132934570312e-03,8.544756317138671875e+01
6.937980651855468750e-03,1.907785034179687500e+01
7.640004158020019531e-03,7.601277160644531250e+01
7.709980010986328125e-03,1.650056838989257812e+01
7.740020751953125000e-03,4.397741317749023438e+01
7.848024368286132812e-03,2.624357223510742188e+01
8.715987205505371094e-03,2.044923782348632812e+01
8.741974830627441406e-03,1.299350128173828125e+02
8.867979049682617188e-03,1.907785034179687500e+01
9.073972702026367188e-03,1.772887039184570312e+01
9.670019149780273438e-03,1.772887039184570312e+01
9.822010993957519531e-03,1.650056838989257812e+01
9.909987449645996094e-03,1.772887039184570312e+01
1.019203662872314453e-02,2.468191528320312500e+01
1.049804687500000000e-02,3.145012092590332031e+01
1.117599010467529297e-02,4.788187408447265625e+01
1.134204864501953125e-02,9.894696044921875000e+01
1.181197166442871094e-02,2.967573928833007812e+01
1.245999336242675781e-02,1.097372436523437500e+02
1.262402534484863281e-02,2.624357223510742188e+01
1.330399513244628906e-02,2.324995040893554688e+01
1.337003707885742188e-02,1.650056838989257812e+01
