times,energies
6.806850433349609375e-05,3.806870269775390625e+01
1.159906387329101562e-04,1.344775199890136719e+01
1.699924468994140625e-04,1.131957054138183594e+01
2.759695053100585938e-04,2.517294464111328125e+02
2.800226211547851562e-04,7.628069877624511719e+00
5.999803543090820312e-04,2.180372238159179688e+01
6.439685821533203125e-04,2.180372238159179688e+01
7.519721984863281250e-04,2.623040771484375000e+01
7.879734039306640625e-04,1.131957054138183594e+01
1.142024993896484375e-03,8.552044868469238281e+00
2.092003822326660156e-03,2.180372238159179688e+01
2.457976341247558594e-03,1.131957054138183594e+01
3.185987472534179688e-03,1.131957054138183594e+01
3.710031509399414062e-03,2.832164916992187500e+02
3.744006156921386719e-03,2.040061759948730469e+01
4.328012466430664062e-03,3.506946563720703125e+01
4.487991333007812500e-03,1.344775199890136719e+01
5.125999450683593750e-03,9.632219238281250000e+02
5.668044090270996094e-03,2.180372238159179688e+01
5.894064903259277344e-03,1.456407165527343750e+01
6.191968917846679688e-03,3.506946563720703125e+01
6.435990333557128906e-03,2.952544021606445312e+01
6.850004196166992188e-03,1.912292480468750000e+01
6.932020187377929688e-03,2.180372238159179688e+01
7.032036781311035156e-03,1.456407165527343750e+01
7.158041000366210938e-03,2.779288291931152344e+01
7.315993309020996094e-03,3.806870269775390625e+01
7.385969161987304688e-03,1.131957054138183594e+01
7.716059684753417969e-03,1.039695930480957031e+01
7.734060287475585938e-03,2.040061759948730469e+01
8.126020431518554688e-03,1.131957054138183594e+01
8.147954940795898438e-03,1.568694114685058594e+01
8.372068405151367188e-03,1.276256866455078125e+02
8.390069007873535156e-03,1.233600234985351562e+01
8.551955223083496094e-03,1.344775199890136719e+01
8.560061454772949219e-03,1.233600234985351562e+01
8.710026741027832031e-03,1.039695930480957031e+01
8.901953697204589844e-03,2.180372238159179688e+01
9.008049964904785156e-03,1.456407165527343750e+01
9.096026420593261719e-03,1.568694114685058594e+01
9.402036666870117188e-03,8.552044868469238281e+00
9.583950042724609375e-03,1.912292480468750000e+01
9.765982627868652344e-03,1.131957054138183594e+01
9.876012802124023438e-03,1.912292480468750000e+01
1.018202304840087891e-02,1.681906127929687500e+01
1.032400131225585938e-02,2.180372238159179688e+01
1.044595241546630859e-02,2.623040771484375000e+01
1.049602031707763672e-02,2.471428108215332031e+01
1.064205169677734375e-02,1.131957054138183594e+01
1.102399826049804688e-02,2.952544021606445312e+01
1.128399372100830078e-02,1.568694114685058594e+01
1.140606403350830078e-02,2.779288291931152344e+01
1.143395900726318359e-02,2.471428108215332031e+01
1.144206523895263672e-02,1.568694114685058594e+01
1.153600215911865234e-02,2.324016571044921875e+01
1.159000396728515625e-02,2.779288291931152344e+01
1.159405708312988281e-02,1.912292480468750000e+01
1.184999942779541016e-02,2.623040771484375000e+01
1.187801361083984375e-02,2.040061759948730469e+01
1.190197467803955078e-02,8.470481109619140625e+01
1.197600364685058594e-02,4.694122314453125000e+01
1.214396953582763672e-02,5.306610870361328125e+01
