times,energies
-1.999693989753723145e+00,4.311347961425781250e+01
-1.998631954193115234e+00,9.327395439147949219e+00
-1.998155951499938965e+00,2.922947692871093750e+01
-1.997642040252685547e+00,2.300489616394042969e+01
-1.997159957885742188e+00,1.767463874816894531e+01
-1.997077941894531250e+00,9.843771972656250000e+02
-1.997027993202209473e+00,2.742563629150390625e+01
-1.996724009513854980e+00,9.327395439147949219e+00
-1.995296001434326172e+00,6.871679687500000000e+01
-1.995272040367126465e+00,5.050255126953125000e+02
-1.994709968566894531e+00,5.351929473876953125e+01
-1.994704008102416992e+00,1.893236732482910156e+01
-1.994609951972961426e+00,1.652385520935058594e+01
-1.994297981262207031e+00,2.164199447631835938e+01
-1.993088006973266602e+00,1.428503036499023438e+01
-1.992795944213867188e+00,1.893236732482910156e+01
-1.992467999458312988e+00,1.320825386047363281e+01
-1.992251992225646973e+00,2.742563629150390625e+01
-1.992236018180847168e+00,2.028800201416015625e+01
-1.992081999778747559e+00,1.428503036499023438e+01
-1.991840004920959473e+00,1.179767761230468750e+02
-1.990831971168518066e+00,1.893236732482910156e+01
-1.990252017974853516e+00,1.428503036499023438e+01
-1.989217996597290039e+00,1.539132499694824219e+01
-1.989019989967346191e+00,4.311347961425781250e+01
-1.988638043403625488e+00,2.723996582031250000e+02
-1.988261938095092773e+00,1.893236732482910156e+01
-1.987730026245117188e+00,1.320825386047363281e+01
-1.987653970718383789e+00,3.555633544921875000e+02
-1.987372040748596191e+00,1.836213684082031250e+02
-1.986573934555053711e+00,2.742563629150390625e+01
-1.985013961791992188e+00,1.501912719726562500e+03
-1.984055995941162109e+00,2.164199447631835938e+01
-1.983682036399841309e+00,3.638973617553710938e+01
-1.983242034912109375e+00,8.470090866088867188e+00
-1.983170032501220703e+00,1.215646743774414062e+01
-1.983162045478820801e+00,2.300489616394042969e+01
-1.982815980911254883e+00,9.843771972656250000e+02
-1.982058048248291016e+00,3.317626571655273438e+01
-1.980855941772460938e+00,2.439331054687500000e+01
-1.980744004249572754e+00,8.057202911376953125e+01
-1.980337977409362793e+00,2.439331054687500000e+01
-1.980020046234130859e+00,8.470090866088867188e+00
-1.978505969047546387e+00,1.836213684082031250e+02
-1.978312015533447266e+00,1.320825386047363281e+01
-1.976945996284484863e+00,4.311347961425781250e+01
-1.976915955543518066e+00,5.351929473876953125e+01
