times,energies
-1.999082088470458984e+00,9.267634391784667969e+00
-1.998874068260192871e+00,2.936956024169921875e+01
-1.998502016067504883e+00,3.132011032104492188e+01
-1.998482108116149902e+00,2.303031539916992188e+01
-1.998010039329528809e+00,2.444761657714843750e+01
-1.997700095176696777e+00,1.011847114562988281e+01
-1.997054100036621094e+00,1.002590026855468750e+02
-1.996120095252990723e+00,6.877536010742187500e+01
-1.996114015579223633e+00,1.313603782653808594e+01
-1.996088027954101562e+00,1.208705711364746094e+01
-1.995696067810058594e+00,2.043249816894531250e+02
-1.995546102523803711e+00,1.105575561523437500e+01
-1.995398044586181641e+00,1.489196411132812500e+03
-1.995260119438171387e+00,2.164011764526367188e+01
-1.995148062705993652e+00,2.026193237304687500e+01
-1.994588017463684082e+00,1.761515808105468750e+01
-1.994502067565917969e+00,2.590724563598632812e+01
-1.994074106216430664e+00,3.989650726318359375e+01
-1.993650078773498535e+00,7.008577270507812500e+02
-1.992650032043457031e+00,4.160636901855468750e+01
-1.990940093994140625e+00,1.593701171875000000e+02
-1.990672111511230469e+00,5.843643569946289062e+01
-1.990576028823852539e+00,1.531870460510253906e+01
-1.988722085952758789e+00,5.621528320312500000e+02
-1.988646030426025391e+00,2.303031539916992188e+01
-1.988188028335571289e+00,6.819271240234375000e+02
-1.986064076423645020e+00,2.590724563598632812e+01
-1.985846042633056641e+00,4.738771820068359375e+01
-1.985184073448181152e+00,7.161704254150390625e+01
-1.984328031539916992e+00,5.381799316406250000e+01
-1.983660101890563965e+00,6.279410400390625000e+02
-1.983246088027954102e+00,1.271490936279296875e+02
-1.983034014701843262e+00,1.807280883789062500e+02
-1.982826113700866699e+00,1.105575561523437500e+01
-1.982716083526611328e+00,3.501654815673828125e+01
-1.982470035552978516e+00,3.132011032104492188e+01
-1.982240080833435059e+00,4.539963912963867188e+01
-1.982120037078857422e+00,2.106011962890625000e+02
-1.981534123420715332e+00,4.160636901855468750e+01
-1.981348037719726562e+00,4.738771820068359375e+01
-1.981112122535705566e+00,5.170806274414062500e+02
-1.980724096298217773e+00,1.489196411132812500e+03
-1.980198025703430176e+00,2.305547180175781250e+02
-1.980120062828063965e+00,7.743718719482421875e+01
-1.979996085166931152e+00,1.921585693359375000e+02
-1.979392051696777344e+00,5.381799316406250000e+01
-1.979090094566345215e+00,1.645233154296875000e+02
-1.978578090667724609e+00,6.088533782958984375e+01
-1.977414131164550781e+00,1.313603782653808594e+01
-1.977184057235717773e+00,1.313603782653808594e+01
-1.976912021636962891e+00,3.656048583984375000e+01
-1.975756049156188965e+00,5.154597854614257812e+01
-1.975128054618835449e+00,1.421135044097900391e+01
-1.974712014198303223e+00,1.489196411132812500e+03
-1.974684119224548340e+00,3.331004714965820312e+01
-1.974376082420349121e+00,2.237723388671875000e+02
-1.973056077957153320e+00,2.303031539916992188e+01
-1.972214102745056152e+00,3.331004714965820312e+01
-1.971946001052856445e+00,3.501654815673828125e+01
-1.970902085304260254e+00,9.232863159179687500e+02
-1.970046043395996094e+00,2.026193237304687500e+01
-1.969072103500366211e+00,4.344027709960937500e+01
-1.968758106231689453e+00,1.358801879882812500e+02
-1.967884063720703125e+00,8.678063964843750000e+01
-1.967150092124938965e+00,2.026193237304687500e+01
-1.966784000396728516e+00,1.149399108886718750e+02
-1.965777993202209473e+00,1.888663101196289062e+01
-1.964796066284179688e+00,1.761515808105468750e+01
-1.964542031288146973e+00,5.028666992187500000e+02
-1.964224100112915039e+00,2.026193237304687500e+01
-1.963904023170471191e+00,9.232863159179687500e+02
-1.962858080863952637e+00,1.208705711364746094e+01
-1.962642073631286621e+00,5.942329711914062500e+02
-1.962300062179565430e+00,7.743718719482421875e+01
-1.961351990699768066e+00,2.164011764526367188e+01
-1.960430026054382324e+00,7.743718719482421875e+01
-1.959230065345764160e+00,2.936956024169921875e+01
-1.957982063293457031e+00,1.645588684082031250e+01
-1.957524061203002930e+00,1.421135044097900391e+01
-1.957484006881713867e+00,9.267634391784667969e+00
-1.957026004791259766e+00,9.232863159179687500e+02
-1.956784009933471680e+00,7.743718719482421875e+01
-1.956212043762207031e+00,1.593701171875000000e+02
-1.954694032669067383e+00,3.898958740234375000e+02
-1.954550027847290039e+00,9.598250732421875000e+02
-1.954082012176513672e+00,2.753824234008789062e+01
-1.954016089439392090e+00,9.232863159179687500e+02
-1.953966021537780762e+00,2.753824234008789062e+01
-1.953786015510559082e+00,8.359603881835937500e+01
-1.952864050865173340e+00,1.313603782653808594e+01
-1.952706098556518555e+00,2.753824234008789062e+01
-1.951964020729064941e+00,3.132011032104492188e+01
-1.950946092605590820e+00,4.539963912963867188e+01
-1.948974013328552246e+00,4.160636901855468750e+01
-1.948478102684020996e+00,1.888663101196289062e+01
-1.947692036628723145e+00,9.267634391784667969e+00
-1.947214007377624512e+00,2.305547180175781250e+02
-1.944115996360778809e+00,5.154597854614257812e+01
-1.943906068801879883e+00,3.096396484375000000e+02
-1.943876028060913086e+00,2.756799621582031250e+02
-1.943836092948913574e+00,1.421135044097900391e+01
-1.943388104438781738e+00,7.743718719482421875e+01
-1.942434072494506836e+00,7.161704254150390625e+01
-1.942350029945373535e+00,8.359603881835937500e+01
-1.941336035728454590e+00,2.756799621582031250e+02
-1.940734028816223145e+00,1.489196411132812500e+03
-1.940528035163879395e+00,4.622719726562500000e+02
-1.939064025878906250e+00,2.106011962890625000e+02
-1.937452077865600586e+00,9.675515747070312500e+01
-1.936840057373046875e+00,6.635263671875000000e+02
-1.936020016670227051e+00,2.164011764526367188e+01
-1.935746073722839355e+00,2.444761657714843750e+01
-1.934554100036621094e+00,3.281154785156250000e+02
-1.934468030929565430e+00,3.331004714965820312e+01
-1.932522058486938477e+00,3.656048583984375000e+01
-1.930730104446411133e+00,5.381799316406250000e+01
-1.929674029350280762e+00,6.877536010742187500e+01
-1.929562091827392578e+00,7.161704254150390625e+01
-1.929458022117614746e+00,1.229619979858398438e+02
-1.929188013076782227e+00,9.232863159179687500e+02
-1.928468108177185059e+00,3.501654815673828125e+01
-1.928402066230773926e+00,1.208705711364746094e+01
-1.927754044532775879e+00,1.105575561523437500e+01
-1.927504062652587891e+00,1.313603782653808594e+01
-1.927218079566955566e+00,5.381799316406250000e+01
-1.926632046699523926e+00,4.889329833984375000e+02
-1.926552057266235352e+00,5.770925521850585938e+00
-1.925966024398803711e+00,9.232863159179687500e+02
-1.925898075103759766e+00,1.208705711364746094e+01
-1.925060033798217773e+00,1.448686218261718750e+02
-1.923678040504455566e+00,2.164011764526367188e+01
-1.923580050468444824e+00,1.645588684082031250e+01
-1.923004031181335449e+00,9.267634391784667969e+00
-1.922264099121093750e+00,6.669160366058349609e+00
-1.922172069549560547e+00,1.229619979858398438e+02
-1.921636104583740234e+00,1.645588684082031250e+01
-1.918472051620483398e+00,1.421135044097900391e+01
-1.917930006980895996e+00,4.011327514648437500e+02
-1.917312026023864746e+00,3.501654815673828125e+01
-1.916226029396057129e+00,3.331004714965820312e+01
-1.915422081947326660e+00,3.682329101562500000e+02
-1.914292097091674805e+00,1.531870460510253906e+01
-1.914248108863830566e+00,3.132011032104492188e+01
-1.914138078689575195e+00,2.164011764526367188e+01
-1.913832068443298340e+00,2.305547180175781250e+02
-1.913570046424865723e+00,7.203167724609375000e+02
-1.913094043731689453e+00,1.208705711364746094e+01
-1.912708044052124023e+00,1.645588684082031250e+01
-1.911788105964660645e+00,6.605603027343750000e+01
-1.910964012145996094e+00,1.037625579833984375e+02
-1.910734057426452637e+00,1.149399108886718750e+02
-1.909610033035278320e+00,6.605603027343750000e+01
-1.909016013145446777e+00,2.522763824462890625e+02
-1.908982038497924805e+00,1.358801879882812500e+02
-1.908328056335449219e+00,2.753824234008789062e+01
-1.908210039138793945e+00,2.026193237304687500e+01
-1.907706022262573242e+00,9.232863159179687500e+02
-1.907240033149719238e+00,3.331004714965820312e+01
-1.906942009925842285e+00,9.335960388183593750e+01
-1.904316067695617676e+00,4.940269470214843750e+01
-1.902054071426391602e+00,1.888663101196289062e+01
-1.900860071182250977e+00,9.598250732421875000e+02
-1.900820016860961914e+00,2.756799621582031250e+02
-1.900524020195007324e+00,2.303031539916992188e+01
-1.900138020515441895e+00,9.598250732421875000e+02
-1.899846076965332031e+00,2.026193237304687500e+01
-1.899790048599243164e+00,4.539963912963867188e+01
-1.899760007858276367e+00,1.271490936279296875e+02
-1.899420022964477539e+00,8.359603881835937500e+01
-1.898818016052246094e+00,2.303031539916992188e+01
-1.897783994674682617e+00,9.598250732421875000e+02
-1.897523999214172363e+00,1.421135044097900391e+01
-1.897228002548217773e+00,9.007154083251953125e+01
-1.896182060241699219e+00,1.921585693359375000e+02
-1.895988106727600098e+00,3.377470703125000000e+02
