times,energies
-1.999022006988525391e+00,2.324995040893554688e+01
-1.998296022415161133e+00,2.794122505187988281e+01
-1.997946023941040039e+00,1.326896476745605469e+01
-1.997901976108551025e+00,2.967573928833007812e+01
-1.997583985328674316e+00,1.539400672912597656e+01
-1.997150003910064697e+00,3.556683349609375000e+01
-1.996515989303588867e+00,1.650056838989257812e+01
-1.994368016719818115e+00,2.794122505187988281e+01
-1.993045985698699951e+00,9.330278396606445312e+00
-1.992179989814758301e+00,1.526647338867187500e+02
-1.991612017154693604e+00,4.032861709594726562e+01
-1.991128027439117432e+00,7.012135314941406250e+01
-1.990906000137329102e+00,3.145012092590332031e+01
-1.989063978195190430e+00,2.468191528320312500e+01
-1.988651990890502930e+00,2.624357223510742188e+01
-1.988120019435882568e+00,3.663370971679687500e+02
-1.986671984195709229e+00,1.772887039184570312e+01
-1.985949993133544922e+00,2.183972549438476562e+01
-1.985011994838714600e+00,1.907785034179687500e+01
-1.983359992504119873e+00,2.183972549438476562e+01
-1.982900023460388184e+00,3.357260513305664062e+01
-1.980690002441406250e+00,2.324995040893554688e+01
-1.980581998825073242e+00,5.452413940429687500e+01
-1.979911983013153076e+00,1.431670379638671875e+01
-1.977761983871459961e+00,1.123916816711425781e+01
-1.977689981460571289e+00,1.490618652343750000e+03
-1.975982010364532471e+00,1.539400672912597656e+01
-1.974918007850646973e+00,6.805476188659667969e+00
-1.974864006042480469e+00,2.324995040893554688e+01
-1.973482012748718262e+00,1.431670379638671875e+01
-1.973432004451751709e+00,1.650056838989257812e+01
-1.972603976726531982e+00,1.772887039184570312e+01
-1.972365975379943848e+00,5.929572677612304688e+01
-1.971687972545623779e+00,1.123916816711425781e+01
-1.969518005847930908e+00,1.024215126037597656e+01
-1.968367993831634521e+00,2.285705871582031250e+02
-1.968295991420745850e+00,1.845382080078125000e+02
-1.968258023262023926e+00,4.591031646728515625e+01
-1.967840015888214111e+00,1.431670379638671875e+01
-1.967634022235870361e+00,2.044923782348632812e+01
-1.966798007488250732e+00,5.223962402343750000e+01
-1.966127991676330566e+00,2.794122505187988281e+01
-1.965475976467132568e+00,1.326896476745605469e+01
-1.965403974056243896e+00,9.625089111328125000e+02
-1.962224006652832031e+00,1.123916816711425781e+01
-1.961127996444702148e+00,3.556683349609375000e+01
-1.958886027336120605e+00,1.387304687500000000e+02
-1.958554029464721680e+00,1.907785034179687500e+01
-1.957459986209869385e+00,1.431670379638671875e+01
-1.957383990287780762e+00,3.556683349609375000e+01
-1.956691980361938477e+00,1.326896476745605469e+01
-1.956525981426239014e+00,2.324995040893554688e+01
-1.956130027770996094e+00,2.183972549438476562e+01
-1.956012010574340820e+00,4.788187408447265625e+01
-1.954644024372100830e+00,4.788187408447265625e+01
-1.954349994659423828e+00,2.736437377929687500e+02
-1.954155981540679932e+00,9.625089111328125000e+02
-1.953729987144470215e+00,9.625089111328125000e+02
-1.953541994094848633e+00,2.967573928833007812e+01
-1.953234016895294189e+00,9.625089111328125000e+02
-1.952638030052185059e+00,1.526647338867187500e+02
-1.952584028244018555e+00,4.032861709594726562e+01
-1.952328026294708252e+00,9.625089111328125000e+02
-1.952040016651153564e+00,2.355863952636718750e+02
-1.950901985168457031e+00,1.024215126037597656e+01
-1.949429988861083984e+00,3.711849594116210938e+01
-1.948963999748229980e+00,3.357260513305664062e+01
-1.948635995388031006e+00,5.929572677612304688e+01
-1.945541977882385254e+00,1.024215126037597656e+01
-1.945053994655609131e+00,2.987637634277343750e+02
-1.943783998489379883e+00,2.324995040893554688e+01
-1.943361997604370117e+00,2.183972549438476562e+01
-1.942986011505126953e+00,5.047188282012939453e+00
-1.942718029022216797e+00,6.188549041748046875e+01
-1.942651987075805664e+00,1.431670379638671875e+01
-1.939270019531250000e+00,9.894696044921875000e+01
-1.938682019710540771e+00,1.772887039184570312e+01
-1.937893986701965332e+00,7.912902069091796875e+01
-1.937875986099243164e+00,3.145012092590332031e+01
-1.935392022132873535e+00,8.497907638549804688e+00
-1.935256004333496094e+00,2.967573928833007812e+01
-1.934975981712341309e+00,2.086694335937500000e+02
-1.933745980262756348e+00,1.387304687500000000e+02
-1.933152019977569580e+00,9.625089111328125000e+02
-1.932896018028259277e+00,1.907785034179687500e+01
-1.931959986686706543e+00,2.624357223510742188e+01
-1.931573987007141113e+00,4.591031646728515625e+01
-1.931285977363586426e+00,7.657753467559814453e+00
-1.929993987083435059e+00,4.208588027954101562e+01
-1.928460001945495605e+00,2.044923782348632812e+01
-1.927965998649597168e+00,1.097372436523437500e+02
-1.927241981029510498e+00,8.497907638549804688e+00
-1.927233994007110596e+00,1.907785034179687500e+01
-1.925004005432128906e+00,1.123916816711425781e+01
-1.923228025436401367e+00,2.967573928833007812e+01
-1.922856032848358154e+00,7.601277160644531250e+01
-1.922604024410247803e+00,1.907785034179687500e+01
-1.922452032566070557e+00,2.218038635253906250e+02
-1.920680046081542969e+00,1.024386749267578125e+02
-1.917834043502807617e+00,2.967573928833007812e+01
-1.916106045246124268e+00,2.967573928833007812e+01
-1.913158059120178223e+00,8.717131347656250000e+02
-1.911788046360015869e+00,5.047188282012939453e+00
-1.911614060401916504e+00,5.936735153198242188e+00
-1.911430060863494873e+00,1.123916816711425781e+01
-1.910118043422698975e+00,8.544756317138671875e+01
-1.908776044845581055e+00,4.208588027954101562e+01
-1.907560050487518311e+00,4.109113159179687500e+02
-1.907360017299652100e+00,4.999148941040039062e+01
-1.907004058361053467e+00,4.208588027954101562e+01
-1.905830025672912598e+00,7.657753467559814453e+00
-1.903856039047241211e+00,2.468191528320312500e+01
-1.902104020118713379e+00,2.794122505187988281e+01
-1.901832044124603271e+00,1.326896476745605469e+01
-1.900256037712097168e+00,9.625089111328125000e+02
-1.900196015834808350e+00,4.397741317749023438e+01
-1.896696031093597412e+00,1.224560546875000000e+01
-1.896442055702209473e+00,2.967573928833007812e+01
-1.892366051673889160e+00,3.261218261718750000e+02
-1.892290055751800537e+00,3.870365905761718750e+01
-1.892216026782989502e+00,6.724725341796875000e+01
-1.892054021358489990e+00,1.907785034179687500e+01
-1.891848027706146240e+00,9.894696044921875000e+01
-1.890798032283782959e+00,1.490618652343750000e+03
-1.890770018100738525e+00,9.625089111328125000e+02
-1.890098035335540771e+00,1.431670379638671875e+01
-1.889642059803009033e+00,3.711849594116210938e+01
-1.888092041015625000e+00,2.655921630859375000e+02
-1.887740015983581543e+00,9.330278396606445312e+00
-1.887456059455871582e+00,2.324995040893554688e+01
-1.887446045875549316e+00,6.450071716308593750e+01
-1.886298060417175293e+00,2.468191528320312500e+01
-1.885526061058044434e+00,2.794122505187988281e+01
-1.884504020214080811e+00,1.135483245849609375e+02
-1.883338034152984619e+00,1.490618652343750000e+03
-1.882670044898986816e+00,1.902925109863281250e+02
-1.882314026355743408e+00,3.145012092590332031e+01
-1.882276058197021484e+00,6.450071716308593750e+01
-1.881168067455291748e+00,1.224560546875000000e+01
-1.881070017814636230e+00,1.326896476745605469e+01
-1.879818022251129150e+00,2.044923782348632812e+01
-1.879436016082763672e+00,4.591031646728515625e+01
-1.878736019134521484e+00,4.132495880126953125e+00
-1.876818060874938965e+00,1.490618652343750000e+03
-1.876166045665740967e+00,2.183972549438476562e+01
-1.875526010990142822e+00,1.431670379638671875e+01
-1.875256061553955078e+00,4.208588027954101562e+01
-1.872526049613952637e+00,4.788187408447265625e+01
-1.871778011322021484e+00,2.183972549438476562e+01
-1.871020019054412842e+00,7.012135314941406250e+01
-1.870296061038970947e+00,7.300807189941406250e+01
-1.870204031467437744e+00,1.490618652343750000e+03
-1.870116055011749268e+00,3.556683349609375000e+01
-1.867576062679290771e+00,2.794122505187988281e+01
-1.867476046085357666e+00,7.012135314941406250e+01
-1.867178022861480713e+00,1.343276977539062500e+02
-1.867016017436981201e+00,2.624357223510742188e+01
-1.865904033184051514e+00,1.224560546875000000e+01
-1.865474045276641846e+00,2.183972549438476562e+01
-1.862722039222717285e+00,1.431670379638671875e+01
-1.861822009086608887e+00,1.431670379638671875e+01
-1.861472010612487793e+00,1.490618652343750000e+03
-1.860024034976959229e+00,5.613264160156250000e+02
-1.859796047210693359e+00,1.539400672912597656e+01
-1.858230054378509521e+00,3.357260513305664062e+01
-1.856424033641815186e+00,2.736437377929687500e+02
-1.854822039604187012e+00,7.011821289062500000e+02
-1.853430032730102539e+00,2.151705017089843750e+02
-1.852086067199707031e+00,3.357260513305664062e+01
-1.850510060787200928e+00,4.739938964843750000e+02
-1.848974049091339111e+00,7.012135314941406250e+01
-1.848934054374694824e+00,2.468191528320312500e+01
-1.846558034420013428e+00,9.544874572753906250e+01
-1.845788061618804932e+00,3.558781738281250000e+02
-1.845164060592651367e+00,9.330278396606445312e+00
-1.844908058643341064e+00,3.993543701171875000e+02
-1.844506025314331055e+00,1.650056838989257812e+01
-1.841900050640106201e+00,2.468191528320312500e+01
-1.841310024261474609e+00,3.556683349609375000e+01
-1.841298043727874756e+00,3.145012092590332031e+01
-1.840470016002655029e+00,4.788187408447265625e+01
-1.839982032775878906e+00,4.788187408447265625e+01
-1.837718009948730469e+00,2.324995040893554688e+01
-1.836792051792144775e+00,5.684141921997070312e+01
-1.836642026901245117e+00,2.183972549438476562e+01
-1.836292028427124023e+00,3.711849594116210938e+01
-1.834782063961029053e+00,2.577968444824218750e+02
-1.834392011165618896e+00,3.711849594116210938e+01
-1.831954061985015869e+00,1.526647338867187500e+02
-1.830952048301696777e+00,3.556683349609375000e+01
-1.829952061176300049e+00,7.012135314941406250e+01
-1.828346014022827148e+00,2.044923782348632812e+01
-1.827088057994842529e+00,3.556683349609375000e+01
-1.825704038143157959e+00,2.794122505187988281e+01
-1.825382053852081299e+00,1.907785034179687500e+01
-1.825124025344848633e+00,5.929572677612304688e+01
-1.824346065521240234e+00,1.490618652343750000e+03
-1.824194014072418213e+00,1.650056838989257812e+01
-1.823512017726898193e+00,5.452413940429687500e+01
-1.823144018650054932e+00,2.794122505187988281e+01
-1.823118031024932861e+00,2.044923782348632812e+01
-1.820479989051818848e+00,4.132495880126953125e+00
-1.819670021533966064e+00,9.625089111328125000e+02
-1.818599998950958252e+00,3.556683349609375000e+01
-1.816868007183074951e+00,4.478670043945312500e+02
-1.816300034523010254e+00,3.663370971679687500e+02
-1.816266000270843506e+00,1.024386749267578125e+02
-1.812085986137390137e+00,4.999148941040039062e+01
-1.809938013553619385e+00,1.490618652343750000e+03
-1.809252023696899414e+00,1.490618652343750000e+03
-1.807542026042938232e+00,1.490618652343750000e+03
-1.807152032852172852e+00,2.794122505187988281e+01
-1.806568026542663574e+00,3.145012092590332031e+01
-1.805414021015167236e+00,2.967573928833007812e+01
-1.804910004138946533e+00,9.625089111328125000e+02
-1.801514029502868652e+00,1.902925109863281250e+02
