times,energies
-1.999932050704956055e+00,4.629338073730468750e+02
-1.999914050102233887e+00,4.906521987915039062e+01
-1.999848008155822754e+00,8.470090866088867188e+00
-1.999096035957336426e+00,1.501912719726562500e+03
-1.998484015464782715e+00,4.505929565429687500e+01
-1.998434066772460938e+00,2.028800201416015625e+01
-1.997708082199096680e+00,2.300489616394042969e+01
-1.996262073516845703e+00,1.428503036499023438e+01
-1.995204091072082520e+00,2.300489616394042969e+01
-1.994420051574707031e+00,1.215646743774414062e+01
-1.992868065834045410e+00,1.539132499694824219e+01
-1.992726087570190430e+00,9.659272766113281250e+01
-1.992084026336669922e+00,2.028800201416015625e+01
-1.991176009178161621e+00,1.320825386047363281e+01
-1.989822030067443848e+00,1.112165355682373047e+01
-1.988386034965515137e+00,1.893236732482910156e+01
-1.988182067871093750e+00,9.327395439147949219e+00
-1.987894058227539062e+00,6.177473144531250000e+02
-1.987820029258728027e+00,1.428503036499023438e+01
-1.987804055213928223e+00,4.130283737182617188e+01
-1.986048102378845215e+00,1.428503036499023438e+01
-1.985509991645812988e+00,8.680445861816406250e+01
-1.984970092773437500e+00,1.893236732482910156e+01
-1.984782099723815918e+00,2.028800201416015625e+01
-1.984366059303283691e+00,2.300489616394042969e+01
-1.984282016754150391e+00,9.327395439147949219e+00
-1.983658075332641602e+00,1.428503036499023438e+01
-1.983615994453430176e+00,3.638973617553710938e+01
-1.983012080192565918e+00,1.428503036499023438e+01
-1.982428073883056641e+00,2.139603881835937500e+02
-1.981590032577514648e+00,2.742563629150390625e+01
-1.981182098388671875e+00,1.300880737304687500e+02
-1.981137990951538086e+00,1.259310913085937500e+02
-1.980412006378173828e+00,1.428503036499023438e+01
-1.980288028717041016e+00,1.320825386047363281e+01
-1.980148077011108398e+00,1.780713806152343750e+02
-1.979864001274108887e+00,1.300880737304687500e+02
-1.978470087051391602e+00,8.057202911376953125e+01
-1.978406071662902832e+00,2.164199447631835938e+01
-1.978072047233581543e+00,1.018100738525390625e+01
-1.977518081665039062e+00,1.112165355682373047e+01
-1.977208018302917480e+00,9.327395439147949219e+00
-1.976744055747985840e+00,1.320825386047363281e+01
-1.976256012916564941e+00,5.820336914062500000e+01
-1.975410103797912598e+00,5.122364044189453125e+01
-1.975098013877868652e+00,2.922947692871093750e+01
-1.973738074302673340e+00,2.922947692871093750e+01
-1.973518013954162598e+00,9.843771972656250000e+02
-1.972796082496643066e+00,5.820336914062500000e+01
-1.971763968467712402e+00,9.843771972656250000e+02
-1.971546053886413574e+00,4.366636657714843750e+02
-1.971086025238037109e+00,1.539132499694824219e+01
-1.970272064208984375e+00,8.470090866088867188e+00
-1.969591975212097168e+00,5.829115390777587891e+00
-1.968667984008789062e+00,3.638973617553710938e+01
-1.967728018760681152e+00,2.742563629150390625e+01
-1.967126011848449707e+00,2.300489616394042969e+01
-1.967036008834838867e+00,1.501912719726562500e+03
-1.966186046600341797e+00,4.906521987915039062e+01
-1.965273976325988770e+00,4.505929565429687500e+01
-1.965170025825500488e+00,1.539132499694824219e+01
-1.964269995689392090e+00,3.962581634521484375e+01
-1.963775992393493652e+00,2.582396697998046875e+01
-1.963343977928161621e+00,2.164199447631835938e+01
-1.963160037994384766e+00,7.121781616210937500e+02
-1.962478041648864746e+00,9.843771972656250000e+02
-1.961430072784423828e+00,3.798738861083984375e+01
-1.961400032043457031e+00,1.112165355682373047e+01
-1.960720062255859375e+00,2.300489616394042969e+01
-1.960533976554870605e+00,1.652385520935058594e+01
-1.960147976875305176e+00,4.311347961425781250e+01
-1.959800004959106445e+00,2.922947692871093750e+01
-1.958852052688598633e+00,1.215646743774414062e+01
-1.958428025245666504e+00,3.962581634521484375e+01
-1.957942008972167969e+00,1.215646743774414062e+01
