times,energies
-1.999895930290222168e+00,2.044923782348632812e+01
-1.998950004577636719e+00,4.208588027954101562e+01
-1.998675942420959473e+00,1.490618652343750000e+03
-1.998325943946838379e+00,1.123916816711425781e+01
-1.996930003166198730e+00,7.300807189941406250e+01
-1.995599985122680664e+00,7.011821289062500000e+02
-1.994529962539672852e+00,3.711849594116210938e+01
-1.993963956832885742e+00,2.324995040893554688e+01
-1.993294000625610352e+00,1.431670379638671875e+01
-1.992553949356079102e+00,9.625089111328125000e+02
-1.991966009140014648e+00,8.223858642578125000e+01
-1.991495966911315918e+00,6.805476188659667969e+00
-1.990613937377929688e+00,2.044923782348632812e+01
-1.989835977554321289e+00,1.650056838989257812e+01
-1.988395929336547852e+00,1.024215126037597656e+01
-1.988296031951904297e+00,5.223962402343750000e+01
-1.988279938697814941e+00,2.794122505187988281e+01
-1.987139940261840820e+00,2.324995040893554688e+01
-1.986804008483886719e+00,1.772887039184570312e+01
-1.985505938529968262e+00,9.625089111328125000e+02
-1.984236001968383789e+00,1.299350128173828125e+02
-1.984058022499084473e+00,1.135483245849609375e+02
-1.981930017471313477e+00,1.135483245849609375e+02
-1.980829954147338867e+00,1.772887039184570312e+01
-1.980818033218383789e+00,8.875515747070312500e+01
-1.979143977165222168e+00,8.875515747070312500e+01
-1.977455973625183105e+00,1.962883605957031250e+02
-1.975790023803710938e+00,2.794122505187988281e+01
-1.974511981010437012e+00,1.224560546875000000e+01
-1.973637938499450684e+00,7.300807189941406250e+01
-1.973381996154785156e+00,4.999148941040039062e+01
-1.972255945205688477e+00,2.428530273437500000e+02
-1.971572041511535645e+00,1.907785034179687500e+01
-1.971035957336425781e+00,1.224560546875000000e+01
-1.971015930175781250e+00,3.357260513305664062e+01
-1.970701932907104492e+00,3.357260513305664062e+01
-1.970399975776672363e+00,3.357260513305664062e+01
-1.970171928405761719e+00,2.324995040893554688e+01
-1.969902038574218750e+00,1.431670379638671875e+01
-1.969373941421508789e+00,9.625089111328125000e+02
-1.967151999473571777e+00,4.032861709594726562e+01
-1.966751933097839355e+00,1.224560546875000000e+01
-1.966593980789184570e+00,7.300807189941406250e+01
-1.966403961181640625e+00,9.894696044921875000e+01
-1.966307997703552246e+00,1.576650085449218750e+02
-1.966293931007385254e+00,3.145012092590332031e+01
-1.965245962142944336e+00,1.326896476745605469e+01
-1.964648008346557617e+00,9.544874572753906250e+01
-1.963843941688537598e+00,2.967573928833007812e+01
-1.961535930633544922e+00,1.907785034179687500e+01
-1.961249947547912598e+00,2.468191528320312500e+01
-1.959820032119750977e+00,4.132495880126953125e+00
-1.959205985069274902e+00,1.326896476745605469e+01
-1.958977937698364258e+00,1.215076446533203125e+02
-1.958621978759765625e+00,1.907785034179687500e+01
-1.955574035644531250e+00,9.894696044921875000e+01
-1.954288005828857422e+00,1.299350128173828125e+02
-1.953902006149291992e+00,1.907785034179687500e+01
-1.953781962394714355e+00,2.967573928833007812e+01
-1.953637957572937012e+00,1.326896476745605469e+01
-1.953626036643981934e+00,2.468191528320312500e+01
-1.953487992286682129e+00,1.326896476745605469e+01
-1.950780034065246582e+00,5.047188282012939453e+00
-1.950731992721557617e+00,3.556683349609375000e+01
-1.950515985488891602e+00,1.224560546875000000e+01
-1.950258016586303711e+00,5.016276855468750000e+02
-1.949985980987548828e+00,5.159348144531250000e+02
-1.949779987335205078e+00,2.183972549438476562e+01
-1.949417948722839355e+00,2.794122505187988281e+01
-1.948581933975219727e+00,2.468191528320312500e+01
