times,energies
-1.999398112297058105e+00,8.915256958007812500e+02
-1.998804092407226562e+00,2.058775939941406250e+02
-1.997964024543762207e+00,7.895463562011718750e+01
-1.997718095779418945e+00,2.130840301513671875e+01
-1.997056007385253906e+00,1.512323379516601562e+01
-1.996038079261779785e+00,3.773469543457031250e+01
-1.995778083801269531e+00,4.468425750732421875e+01
-1.995752096176147461e+00,1.165113525390625000e+02
-1.995656013488769531e+00,6.107752685546875000e+02
-1.994494080543518066e+00,2.569601058959960938e+01
-1.993056058883666992e+00,3.618482208251953125e+01
-1.991344094276428223e+00,4.666378784179687500e+01
-1.989762067794799805e+00,1.626978302001953125e+01
-1.989178061485290527e+00,2.419443702697753906e+01
-1.988430023193359375e+00,2.130840301513671875e+01
-1.986904025077819824e+00,8.204479980468750000e+01
-1.985338091850280762e+00,2.419443702697753906e+01
-1.985000014305114746e+00,3.940474700927734375e+01
-1.983438014984130859e+00,2.898980712890625000e+01
-1.980974078178405762e+00,1.288757133483886719e+01
-1.980736017227172852e+00,2.569601058959960938e+01
-1.980180025100708008e+00,1.990326881408691406e+01
-1.979074120521545410e+00,1.626978302001953125e+01
-1.978720068931579590e+00,3.093723678588867188e+01
-1.976104021072387695e+00,1.399611663818359375e+01
-1.975564002990722656e+00,4.666378784179687500e+01
-1.973942041397094727e+00,3.773469543457031250e+01
-1.973748087882995605e+00,5.469836425781250000e+02
-1.972356081008911133e+00,1.990326881408691406e+01
-1.972158074378967285e+00,7.597378540039062500e+01
-1.971878051757812500e+00,8.915256958007812500e+02
-1.971498012542724609e+00,9.161827087402343750e+01
-1.970066070556640625e+00,1.743363952636718750e+01
-1.968184113502502441e+00,1.487994018554687500e+03
-1.967678070068359375e+00,1.126704330444335938e+02
-1.966970086097717285e+00,2.130840301513671875e+01
-1.966870069503784180e+00,1.487994018554687500e+03
-1.966762065887451172e+00,3.618482208251953125e+01
-1.966336011886596680e+00,1.861225318908691406e+01
-1.965456008911132812e+00,6.750956726074218750e+01
-1.965002059936523438e+00,1.743363952636718750e+01
-1.964802026748657227e+00,2.273539352416992188e+01
-1.963454008102416992e+00,1.626978302001953125e+01
-1.963192105293273926e+00,3.618482208251953125e+01
-1.960918068885803223e+00,2.898980712890625000e+01
-1.960598111152648926e+00,1.287287597656250000e+02
-1.960274100303649902e+00,4.666378784179687500e+01
-1.959068059921264648e+00,2.690629577636718750e+02
-1.958474040031433105e+00,9.575333251953125000e+02
-1.957786083221435547e+00,1.512323379516601562e+01
-1.957468032836914062e+00,7.895463562011718750e+01
-1.955954074859619141e+00,7.024769592285156250e+01
-1.955782055854797363e+00,8.994504928588867188e+00
-1.955594062805175781e+00,7.895463562011718750e+01
-1.955406069755554199e+00,1.626978302001953125e+01
-1.954806089401245117e+00,3.618482208251953125e+01
-1.954624056816101074e+00,1.767804412841796875e+02
-1.954442024230957031e+00,1.399611663818359375e+01
-1.953672051429748535e+00,1.245390396118164062e+02
-1.952712059020996094e+00,7.597378540039062500e+01
-1.950764060020446777e+00,1.079786872863769531e+01
-1.949038028717041016e+00,9.575333251953125000e+02
-1.948379993438720703e+00,2.273539352416992188e+01
-1.947438001632690430e+00,1.487994018554687500e+03
-1.947352051734924316e+00,9.575333251953125000e+02
-1.945638060569763184e+00,1.288757133483886719e+01
-1.945381999015808105e+00,1.626978302001953125e+01
-1.944748044013977051e+00,1.861225318908691406e+01
-1.944573998451232910e+00,2.390860137939453125e+02
-1.944332003593444824e+00,2.419443702697753906e+01
-1.943997979164123535e+00,2.569601058959960938e+01
-1.943701982498168945e+00,1.399611663818359375e+01
-1.942319989204406738e+00,2.569601058959960938e+01
-1.942110061645507812e+00,1.743363952636718750e+01
-1.942062020301818848e+00,1.079786872863769531e+01
-1.941582083702087402e+00,1.399611663818359375e+01
-1.940350055694580078e+00,1.288757133483886719e+01
-1.938904047012329102e+00,8.994504928588867188e+00
-1.936740040779113770e+00,1.861225318908691406e+01
-1.936392068862915039e+00,7.024769592285156250e+01
-1.935528039932250977e+00,2.419443702697753906e+01
-1.934918045997619629e+00,1.287287597656250000e+02
-1.934724092483520508e+00,1.487994018554687500e+03
-1.934346079826354980e+00,4.135760498046875000e+02
-1.934032082557678223e+00,3.471881866455078125e+01
-1.932554006576538086e+00,1.861225318908691406e+01
-1.932226061820983887e+00,3.618482208251953125e+01
-1.930496096611022949e+00,5.033645629882812500e+02
-1.928521990776062012e+00,1.937243347167968750e+02
-1.927883982658386230e+00,1.399611663818359375e+01
-1.925866007804870605e+00,2.130840301513671875e+01
-1.925780057907104492e+00,2.390860137939453125e+02
-1.925628066062927246e+00,3.389776306152343750e+02
-1.925534009933471680e+00,3.093723678588867188e+01
-1.923654079437255859e+00,1.288757133483886719e+01
-1.921198010444641113e+00,1.288757133483886719e+01
-1.921123981475830078e+00,4.376693420410156250e+02
-1.918907999992370605e+00,9.575333251953125000e+02
-1.918142080307006836e+00,1.179323101043701172e+01
-1.916473984718322754e+00,1.079786872863769531e+01
-1.916133999824523926e+00,7.177649497985839844e+00
-1.915518045425415039e+00,1.487994018554687500e+03
-1.914812088012695312e+00,1.079786872863769531e+01
-1.913914084434509277e+00,1.661070404052734375e+02
-1.913308024406433105e+00,2.569601058959960938e+01
-1.912980079650878906e+00,2.130840301513671875e+01
-1.911738038063049316e+00,1.399611663818359375e+01
-1.911484003067016602e+00,1.079786872863769531e+01
-1.911314010620117188e+00,3.093723678588867188e+01
-1.909488081932067871e+00,1.079786872863769531e+01
-1.907556056976318359e+00,1.626978302001953125e+01
-1.905574083328247070e+00,1.990326881408691406e+01
-1.904900074005126953e+00,4.283148956298828125e+01
-1.904854059219360352e+00,3.021416015625000000e+02
-1.903722047805786133e+00,2.130840301513671875e+01
-1.903364062309265137e+00,1.937243347167968750e+02
-1.901750087738037109e+00,1.399611663818359375e+01
-1.901692032814025879e+00,9.575333251953125000e+02
-1.901622056961059570e+00,8.832165527343750000e+01
-1.898862004280090332e+00,4.110414886474609375e+01
-1.897746086120605469e+00,1.626978302001953125e+01
-1.897181987762451172e+00,8.832165527343750000e+01
-1.896975994110107422e+00,1.179323101043701172e+01
-1.895030021667480469e+00,4.021172485351562500e+02
-1.894468069076538086e+00,2.569601058959960938e+01
-1.893884062767028809e+00,5.287234115600585938e+01
-1.893804073333740234e+00,1.179323101043701172e+01
-1.893656015396118164e+00,3.471881866455078125e+01
-1.893454074859619141e+00,1.487994018554687500e+03
-1.893213987350463867e+00,9.575333251953125000e+02
-1.893084049224853516e+00,1.512323379516601562e+01
-1.892650008201599121e+00,8.994504928588867188e+00
-1.890578031539916992e+00,7.024769592285156250e+01
-1.890269994735717773e+00,1.626978302001953125e+01
-1.888526082038879395e+00,3.471881866455078125e+01
-1.888238072395324707e+00,3.940474700927734375e+01
-1.888190031051635742e+00,2.569601058959960938e+01
-1.886399984359741211e+00,7.177649497985839844e+00
-1.886391997337341309e+00,2.537485961914062500e+02
-1.885178089141845703e+00,5.175031738281250000e+02
-1.884406089782714844e+00,1.512323379516601562e+01
-1.884334087371826172e+00,2.273539352416992188e+01
-1.883530020713806152e+00,9.831112670898437500e+01
-1.882578015327453613e+00,7.195366821289062500e+02
-1.882436037063598633e+00,2.725059127807617188e+01
-1.881834030151367188e+00,1.053256225585937500e+02
-1.881399989128112793e+00,9.575333251953125000e+02
-1.881262063980102539e+00,9.575333251953125000e+02
-1.880522012710571289e+00,1.399611663818359375e+01
-1.880436062812805176e+00,1.861225318908691406e+01
-1.880074024200439453e+00,1.487994018554687500e+03
-1.879577994346618652e+00,1.823033294677734375e+02
-1.878696084022521973e+00,1.512323379516601562e+01
-1.878080010414123535e+00,3.773469543457031250e+01
-1.877766013145446777e+00,1.626978302001953125e+01
-1.876952052116394043e+00,5.516653442382812500e+01
-1.875288009643554688e+00,1.399611663818359375e+01
-1.874852061271667480e+00,1.743363952636718750e+01
-1.874054074287414551e+00,1.399611663818359375e+01
-1.872802019119262695e+00,3.471881866455078125e+01
-1.871878027915954590e+00,5.070766067504882812e+01
-1.870772004127502441e+00,3.093723678588867188e+01
-1.870159983634948730e+00,3.773469543457031250e+01
-1.869734048843383789e+00,1.512323379516601562e+01
-1.869680047035217285e+00,1.053256225585937500e+02
-1.869480013847351074e+00,1.089424057006835938e+02
-1.869379997253417969e+00,2.130840301513671875e+01
-1.868784070014953613e+00,1.179323101043701172e+01
-1.868732094764709473e+00,2.252976684570312500e+02
-1.868646025657653809e+00,8.994504928588867188e+00
-1.868525981903076172e+00,5.287234115600585938e+01
-1.867022037506103516e+00,3.093723678588867188e+01
-1.866634011268615723e+00,2.898980712890625000e+01
-1.864722013473510742e+00,1.713819580078125000e+02
-1.864026069641113281e+00,5.070766067504882812e+01
-1.863942027091979980e+00,5.287234115600585938e+01
