times,energies
-1.998453974723815918e+00,3.334889984130859375e+01
-1.997345924377441406e+00,1.201227378845214844e+01
-1.996421933174133301e+00,1.525615692138671875e+01
-1.996177911758422852e+00,1.231366424560546875e+02
-1.995185971260070801e+00,2.753010559082031250e+01
-1.995165944099426270e+00,2.019761657714843750e+01
-1.994913935661315918e+00,5.157444000244140625e+01
-1.994735956192016602e+00,1.201227378845214844e+01
-1.994261980056762695e+00,2.158130645751953125e+01
-1.993142008781433105e+00,2.440924072265625000e+01
-1.993065953254699707e+00,1.414773941040039062e+01
-1.992561936378479004e+00,9.378056335449218750e+01
-1.991191983222961426e+00,8.299459457397460938e+00
-1.990997910499572754e+00,1.306831550598144531e+01
-1.990121960639953613e+00,2.753010559082031250e+01
-1.989939928054809570e+00,2.938014221191406250e+01
-1.989289999008178711e+00,2.298035430908203125e+01
-1.987999916076660156e+00,1.643318023681640625e+02
-1.987709999084472656e+00,4.619776306152343750e+02
-1.986917972564697266e+00,2.588261413574218750e+01
-1.986603975296020508e+00,1.639233398437500000e+01
-1.986307978630065918e+00,1.542275543212890625e+02
-1.986140012741088867e+00,3.504367065429687500e+01
-1.985911965370178223e+00,2.588261413574218750e+01
-1.984957933425903320e+00,8.401238250732421875e+01
-1.984569907188415527e+00,1.491115966796875000e+03
-1.984529972076416016e+00,6.904431152343750000e+01
-1.983567953109741211e+00,1.494707641601562500e+02
-1.982859969139099121e+00,2.938014221191406250e+01
-1.982439994812011719e+00,2.753010559082031250e+01
-1.982270002365112305e+00,1.306831550598144531e+01
-1.982079982757568359e+00,3.820312881469726562e+01
-1.981014013290405273e+00,1.754993438720703125e+01
-1.980695962905883789e+00,3.656627655029296875e+01
-1.979979991912841797e+00,2.158130645751953125e+01
-1.978451967239379883e+00,1.306831550598144531e+01
-1.976929903030395508e+00,1.097169399261474609e+01
-1.975101947784423828e+00,2.938014221191406250e+01
-1.974401950836181641e+00,2.019761657714843750e+01
-1.973603963851928711e+00,1.639233398437500000e+01
-1.973177909851074219e+00,4.940985107421875000e+01
-1.972903966903686523e+00,1.639233398437500000e+01
-1.971531987190246582e+00,4.537944793701171875e+01
-1.971491932868957520e+00,4.157966613769531250e+01
-1.971443891525268555e+00,2.831903076171875000e+02
-1.971387982368469238e+00,1.525615692138671875e+01
-1.971063971519470215e+00,2.019761657714843750e+01
-1.969111919403076172e+00,1.002462196350097656e+01
-1.969067931175231934e+00,1.525615692138671875e+01
-1.968717932701110840e+00,1.002462196350097656e+01
-1.968165874481201172e+00,5.387275695800781250e+01
-1.966885924339294434e+00,2.019761657714843750e+01
-1.966733932495117188e+00,1.491115966796875000e+03
-1.966699957847595215e+00,3.334889984130859375e+01
-1.965889930725097656e+00,3.134978866577148438e+01
-1.964527964591979980e+00,1.749341125488281250e+02
-1.964481949806213379e+00,2.753010559082031250e+01
-1.962711930274963379e+00,1.804239501953125000e+02
-1.961733937263488770e+00,1.491115966796875000e+03
-1.961223959922790527e+00,7.481166076660156250e+01
-1.960779905319213867e+00,3.987484741210937500e+01
-1.959975957870483398e+00,3.134978866577148438e+01
-1.959617972373962402e+00,1.306831550598144531e+01
-1.959425926208496094e+00,1.525615692138671875e+01
-1.958053946495056152e+00,1.882052612304687500e+01
-1.957941889762878418e+00,2.938014221191406250e+01
-1.956867933273315430e+00,5.157444000244140625e+01
-1.956533908843994141e+00,2.938014221191406250e+01
-1.954315900802612305e+00,1.306831550598144531e+01
-1.952855944633483887e+00,9.049851226806640625e+01
-1.952523946762084961e+00,8.720616149902343750e+01
-1.951871871948242188e+00,1.860403747558593750e+02
-1.951689958572387695e+00,1.041250610351562500e+02
-1.950547933578491211e+00,3.820312881469726562e+01
-1.949223875999450684e+00,1.306831550598144531e+01
-1.949155926704406738e+00,3.134978866577148438e+01
-1.948587894439697266e+00,1.639233398437500000e+01
-1.947625875473022461e+00,4.537944793701171875e+01
-1.947113871574401855e+00,3.656627655029296875e+01
-1.945723891258239746e+00,1.882052612304687500e+01
-1.945413947105407715e+00,2.442604675292968750e+02
-1.945219874382019043e+00,9.164251327514648438e+00
-1.945051908493041992e+00,2.019761657714843750e+01
