times,energies
-1.998408079147338867e+00,1.348857727050781250e+02
-1.998370051383972168e+00,8.100602722167968750e+01
-1.997122049331665039e+00,2.939004898071289062e+01
-1.996908068656921387e+00,3.133229064941406250e+01
-1.996868014335632324e+00,1.207513999938964844e+01
-1.996772050857543945e+00,2.756634712219238281e+01
-1.996021986007690430e+00,2.306996536254882812e+01
-1.995262026786804199e+00,4.522798156738281250e+01
-1.995108008384704590e+00,2.017693328857421875e+02
-1.994948029518127441e+00,2.756634712219238281e+01
-1.994834065437316895e+00,1.109893417358398438e+02
-1.993147969245910645e+00,8.100602722167968750e+01
-1.991168022155761719e+00,2.939004898071289062e+01
-1.987370014190673828e+00,7.197381591796875000e+01
-1.987290024757385254e+00,2.939004898071289062e+01
-1.987220048904418945e+00,1.500170776367187500e+03
-1.986101984977722168e+00,5.846765518188476562e+01
-1.985228061676025391e+00,3.504224395751953125e+01
-1.983060002326965332e+00,9.810003662109375000e+02
-1.980938076972961426e+00,3.334059143066406250e+01
-1.980736017227172852e+00,1.312717628479003906e+01
-1.979106068611145020e+00,1.527975158691406250e+02
-1.979092001914978027e+00,5.374593734741210938e+01
-1.978572010993957520e+00,3.504224395751953125e+01
-1.978533983230590820e+00,2.306996536254882812e+01
-1.978492021560668945e+00,9.810003662109375000e+02
-1.976868033409118652e+00,1.224115600585937500e+02
-1.974930047988891602e+00,1.897897796630859375e+02
-1.974555969238281250e+00,1.500170776367187500e+03
-1.973474025726318359e+00,1.420725440979003906e+01
-1.973322033882141113e+00,3.504224395751953125e+01
-1.971397995948791504e+00,2.167895126342773438e+01
-1.969066023826599121e+00,2.594128417968750000e+01
-1.967797994613647461e+00,4.925908660888671875e+01
-1.967533946037292480e+00,1.532134437561035156e+01
-1.967149972915649414e+00,7.526958465576171875e+00
-1.966940045356750488e+00,2.568563232421875000e+02
-1.966874003410339355e+00,1.312717628479003906e+01
-1.966549992561340332e+00,6.906056518554687500e+02
-1.966241955757141113e+00,1.348857727050781250e+02
-1.965522050857543945e+00,4.145333099365234375e+01
-1.965441942214965820e+00,5.740645408630371094e+00
-1.964468002319335938e+00,1.224115600585937500e+02
-1.963497996330261230e+00,6.362045288085937500e+01
-1.962939977645874023e+00,4.327198028564453125e+01
-1.962471961975097656e+00,4.327198028564453125e+01
-1.961805939674377441e+00,9.810003662109375000e+02
-1.961437940597534180e+00,2.167895126342773438e+01
-1.959318041801452637e+00,1.420725440979003906e+01
-1.959262013435363770e+00,2.939004898071289062e+01
-1.958907961845397949e+00,3.812797546386718750e+01
-1.957772016525268555e+00,5.374593734741210938e+01
-1.957738041877746582e+00,9.376316833496093750e+01
-1.957623958587646484e+00,1.312717628479003906e+01
-1.956215977668762207e+00,2.448550415039062500e+01
-1.955464005470275879e+00,6.097795867919921875e+01
-1.955096006393432617e+00,2.756634712219238281e+01
-1.954725980758666992e+00,7.526958465576171875e+00
-1.953330039978027344e+00,6.097795867919921875e+01
-1.953222036361694336e+00,6.906791687011718750e+01
-1.952491998672485352e+00,1.785689849853515625e+02
-1.951014041900634766e+00,1.500170776367187500e+03
-1.949509978294372559e+00,1.500170776367187500e+03
